iso3,model,dic,dic_se,waic,waic_se
MWI,Model 1,4186,125,4611,152
MWI,Model 2,3413,77,3651,95
MWI,Model 3,3411,77,3646,95
MWI,Model 4,3918,106,4261,128
MWI,Model 5,3181,72,3308,86
MWI,Model 6,3179,73,3306,87
MWI,Model 7,3918,106,4261,128
MWI,Model 8,3181,72,3308,86
MWI,Model 9,3179,73,3306,87
