iso3,indicator,survey_id,age_group,area_id,area_name,area_id_aggr,area_sort_order,center_x,center_y,n_clusters,n_observations,n_eff_kish,x_eff,estimate_raw,ci_lower_raw,ci_upper_raw,population_mean,model,estimate_smoothed,median_smoothed,ci_lower_smoothed,ci_upper_smoothed,lambda_median,lambda_lower,lambda_upper,local_dic,local_waic
MWI,nosex12m,MWI2004DHS,Y015_019,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,32,28.978412670888712,19.29187587104593,0.6657326641781959,0.5711397834136553,0.7486436137883632,14688.1084814207,Model 1,0.5878199932922388,0.5878108490088345,0.5797040729910031,0.5982195928430667,0.6107648777694809,0.4044247703970355,0.7862997568478953,4.526858693625263,4.412617586726869
MWI,sexcohab,MWI2004DHS,Y015_019,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,32,28.978412670888712,6.769663716976538,0.23361057742742558,0.15175457105951842,0.34182671346763444,14688.1084814207,Model 1,0.2628517424793757,0.262938592774304,0.253749950985634,0.26889435510602333,0.2714472741114621,0.1807999283616435,0.34931942551019013,1.4281404490730507,1.2337131278920652
MWI,sexnonregplus,MWI2004DHS,Y015_019,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,32,28.978412670888712,2.9168730828662426,0.10065675839437853,0.030670316675971053,0.2836175584777929,14688.1084814207,Model 1,0.14932826422838555,0.14962182402733382,0.14317144326791412,0.15597449458618096,0.15430339435853405,0.1048053303019434,0.20337474607064498,1.7949219576805249,1.733604242052384
MWI,nosex12m,MWI2004DHS,Y020_024,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,26,23.78636342158546,3.6176357557227528,0.15208864388407728,0.0503737091772275,0.3775345604085524,12072.3950639449,Model 1,0.15411511683968768,0.15378648118864033,0.14750074309273073,0.16036391909947906,0.15535757501976577,0.11192260780273047,0.2046325335600584,1.8259933958235788,1.6843108336581287
MWI,sexcohab,MWI2004DHS,Y020_024,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,26,23.78636342158546,18.670592582222426,0.7849284168121045,0.6313663774041639,0.8860647927832236,12072.3950639449,Model 1,0.757173397626812,0.7575591067212655,0.7497856001471104,0.7655790780181612,0.7584498034494379,0.5268369642340707,1.0058799581120819,2.365195643601661,2.018965844820935
MWI,sexnonregplus,MWI2004DHS,Y020_024,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,26,23.78636342158546,1.4981350836402803,0.06298293930381828,0.022744309601160622,0.16256824801192446,12072.3950639449,Model 1,0.08871148553350033,0.08843400146969273,0.08358160335306507,0.09429390013652182,0.08868486358782171,0.061788881353143615,0.12010866146938107,2.162515270679891,2.0937972900765907
MWI,nosex12m,MWI2004DHS,Y025_029,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,21,19.33086962397412,1.3363848981022508,0.0691321665345499,0.012635861912745905,0.3011780436515862,10176.091935438,Model 1,0.11176487206998313,0.11215531863471191,0.10585217404018997,0.1177852554114899,0.11691692682306812,0.07908948422167231,0.17040795678799212,2.486833092095181,2.4193950977913614
MWI,sexcohab,MWI2004DHS,Y025_029,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,21,19.33086962397412,17.329446457556703,0.8964649182706579,0.6967421435678782,0.9702656041303325,10176.091935438,Model 1,0.8350428383176617,0.8350090636399419,0.8275842088701253,0.8428556628896319,0.8738358551828863,0.5769286886321312,1.2253605651327204,4.551265613050038,4.299176145893918
MWI,sexnonregplus,MWI2004DHS,Y025_029,MWI_5_01,Chitipa,MWI_1_1,67,33.41158204610839,-9.974005685686997,5,21,19.33086962397412,0.665038268315165,0.03440291519479213,0.004454566311118673,0.22099977734355752,10176.091935438,Model 1,0.05319228961235523,0.05288764935014709,0.04792309767402302,0.05735540267654299,0.054401186602771365,0.03717714542978833,0.08194215315438155,2.1287651562551018,2.0828528504329116
MWI,nosex12m,MWI2004DHS,Y015_019,MWI_5_02,Karonga,MWI_1_1,68,33.866334874016346,-10.084841819638836,7,46,42.41003444769817,20.38205327904103,0.48059506540078456,0.36556861150291986,0.5977160623545943,23692.3436566481,Model 1,0.5878013332311405,0.5876729916083944,0.5785671671456752,0.5972399854918824,0.5924101567033566,0.44951782850586425,0.789291731752122,4.600379516474861,4.88059099519295
MWI,sexcohab,MWI2004DHS,Y015_019,MWI_5_02,Karonga,MWI_1_1,68,33.866334874016346,-10.084841819638836,7,46,42.41003444769817,20.25061186876334,0.47749576562445945,0.3632450405115109,0.5941508396842388,23692.3436566481,Model 1,0.26287094185754944,0.26313410904025325,0.2529458770612494,0.26901940507764965,0.2650266737005292,0.20310967616823528,0.35928879363933963,9.842834198241608,12.105054748654933
MWI,sexnonregplus,MWI2004DHS,Y015_019,MWI_5_02,Karonga,MWI_1_1,68,33.866334874016346,-10.084841819638836,7,46,42.41003444769817,1.7773692998938035,0.04190916897475595,0.011915258004691658,0.13694167043174496,23692.3436566481,Model 1,0.1493277249113101,0.1496141841896237,0.1427039435068801,0.1566737279701472,0.1490816398952822,0.11597120457939361,0.20714469038066202,6.405438418493212,6.813809222082818
