indicator,age_group,area_id,area_name,area_idx,area_id_aggr,area_sort_order,center_x,center_y,survey_id,n_clusters,n_observations,n_eff_kish,x_eff,estimate,ci_lower,ci_upper,n_observations_aggr,estimate_aggr,ci_lower_aggr,ci_upper_aggr,mean,median,lower,upper
eversex,Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,MWI2015DHS,24,120,111.88340039567362,32.99922637841616,0.29494300550139696,0.20784649095697671,0.40010260656073415,989,0.49080662682135556,0.44810800564034636,0.5336398048716151,0.33989287611072816,0.33938033293484704,0.26369941912339084,0.4189878936630611
eversex,Y015_019,MWI_5_02,Karonga,2,MWI_1_1,68,33.866334874016346,-10.084841819638836,MWI2015DHS,28,134,123.622641894879,56.66118402235363,0.4583398571156146,0.35399701024603564,0.5664692450605365,989,0.49080662682135556,0.44810800564034636,0.5336398048716151,0.4534302049692818,0.4532154697788042,0.3764323193801819,0.5316257035153509
eversex,Y015_019,MWI_5_03,Nkhatabay,3,MWI_1_1,69,34.03986220564974,-11.61921590702774,MWI2015DHS,27,168,152.73083422509816,81.65758514388975,0.5346502921835741,0.445673812806963,0.6214749515179468,989,0.49080662682135556,0.44810800564034636,0.5336398048716151,0.5175563114514645,0.5174690091715224,0.4480589472557979,0.5875260321516858
eversex,Y015_019,MWI_5_04,Rumphi,4,MWI_1_1,70,33.85483610430867,-10.791181993396545,MWI2015DHS,26,190,168.4364556349482,83.50062536566969,0.49573962507641656,0.4249152598369506,0.5667353798944352,989,0.49080662682135556,0.44810800564034636,0.5336398048716151,0.48536167045662537,0.48522532259021306,0.41818661811666463,0.5532828455772251
eversex,Y015_019,MWI_5_05,Mzimba North,5,MWI_1_1,71,33.698617366732265,-11.23974039944667,MWI2015DHS,7,48,46.2554274995768,19.680462578489184,0.4254735853142692,0.3069506577124228,0.5532294720113613,989,0.49080662682135556,0.44810800564034636,0.5336398048716151,0.448712504280483,0.4485402640169327,0.3465116918327542,0.5519477289244454
eversex,Y015_019,MWI_5_06,Mzimba South,6,MWI_1_1,72,33.575160998223176,-12.02095807516945,MWI2015DHS,18,121,112.03136383064975,66.1454340212672,0.5904188948485425,0.5255460890488202,0.652290183211606,989,0.49080662682135556,0.44810800564034636,0.5336398048716151,0.5515488070444448,0.5514192128098127,0.472896889163402,0.6308955409232407
eversex,Y015_019,MWI_5_07,Likoma,7,MWI_1_1,73,34.731245832814736,-12.066929023436916,MWI2015DHS,22,155,144.90834422429788,72.2277055756639,0.4984371739412432,0.4228561084324397,0.5740897288222789,989,0.49080662682135556,0.44810800564034636,0.5336398048716151,0.49999030296223557,0.5000046287162867,0.4273965571622766,0.5725110277095907
eversex,Y015_019,MWI_5_08,Mzuzu City,8,MWI_1_1,74,34.004922079752575,-11.433350426571813,MWI2015DHS,9,53,50.51805910296834,18.71818835406834,0.37052469327683446,0.25947155704341607,0.49719600036464434,989,0.49080662682135556,0.44810800564034636,0.5336398048716151,0.4211031148742962,0.420917873548624,0.32006715464481716,0.5233081793247043
eversex,Y015_019,MWI_5_09,Kasungu,9,MWI_1_2,75,33.47083410082598,-12.998075222528772,MWI2015DHS,33,215,188.83194770078012,76.4861381220224,0.4050487168793123,0.3236365453571785,0.49204195222698843,1805,0.4716466317262303,0.435388434987494,0.5082064789375655,0.4212927038682658,0.42120362412035406,0.35862777087137443,0.4844854920941028
eversex,Y015_019,MWI_5_10,Nkhotakota,10,MWI_1_2,76,34.0524060649219,-12.832445474568253,MWI2015DHS,28,203,173.37547935338645,80.7726387128179,0.46588271313835133,0.4075022146333209,0.5252130192439761,1805,0.4716466317262303,0.435388434987494,0.5082064789375655,0.4674114952713069,0.46731163992426655,0.40210439074691134,0.5332795188797463
